Date,Topic,Owner,Type,PV,TA,num_follower,num_unfollow,net_follower_change,category,word_count,num_pictures,episode,greater_1k,weekday,num_readers,num_sub_read,num_moment,num_favorites,share_rate,promo_rate,sub_read_rate,moments_read_rate
5/31/18,第一时间上手体验：全新Deltavision Ultra高分辨活细胞工作站,Wang Cong ,Product,501,34,24,8,16,Cell,777,6,0,0,4,982,261,538,11,0.067864271,0.470588235,0.265784114,0.547861507
6/1/18,"基于Biacore无标曲浓度检测法（CFCA）或可成为活性蛋白浓度检测基准方法
",Wang Yali,Tech,1028,87,30,6,24,Biacore,1187,4,0,1,5,979,242,511,19,0.08463035,0.275862069,0.247191011,0.521961185
6/4/18,GE医疗成立GE药业精准医学研究院,GE生命科学,News,2704,186,42,6,36,Branding,1383,5,0,1,1,2383,345,1383,19,0.068786982,0.193548387,0.144775493,0.58036089
6/5/18,小福说| 请PICK下小福的一次性耗材,Wu Zhi Jie ,Tips,454,16,20,11,9,BP,1130,9,小福说,0,2,999,216,496,9,0.035242291,0.5625,0.216216216,0.496496496
6/6/18,GE细胞治疗灵活生产平台加速香雪制药TCRT免疫细胞治疗药物产业化,GE医疗,News,1721,210,27,10,17,Branding,1521,5,0,1,3,1501,244,876,23,0.12202208,0.080952381,0.162558294,0.583610926
6/7/18,离子交换2.0 Capto 系列，一次性满足您的三个愿望,Qing tian zhu,Product,939,47,32,8,24,Consumerable,798,3,0,0,4,1415,397,747,16,0.050053248,0.510638298,0.280565371,0.527915194
6/11/18,当她离开你的时候，连句再见也没有,Chao,Product,1188,29,11,10,1,Consumerable,1988,2,0,1,1,1060,308,650,5,0.024410774,0.034482759,0.290566038,0.613207547
6/12/18,Cell fun club | 培养基配补料 Cell High Clone-Hyclone,Cell fun club,Product,463,26,32,12,20,BP,893,4,Cell fun club,0,2,731,294,326,26,0.056155508,0.769230769,0.402188782,0.445964432
6/13/18,Ä爱纯派|单抗电荷异构体去除的下游策略,Cao Hong,Tech,967,89,35,12,23,AKTA,2296,13,Ä爱纯派,0,3,858,376,323,51,0.092037229,0.258426966,0.438228438,0.376456876
6/14/18,前世今生，你愿做足球界的谁？,April,N.A.,445,12,27,8,19,Consumerable,517,3,0,0,4,810,276,373,32,0.026966292,1.583333333,0.340740741,0.460493827
6/15/18,Biacore经典文章赏析 - RNA/DNA与蛋白相互作用,Ming Luo,Tech,1081,100,24,4,20,Biacore,1446,2,0,1,5,954,303,494,31,0.092506938,0.2,0.317610063,0.517819706
6/20/18,"Ä爱纯派|2018,《凝胶选择指南》,你更新了么？",Qing tian zhu,Tips,1701,129,31,13,18,AKTA,705,5,Ä爱纯派,1,3,1589,487,879,55,0.075837743,0.139534884,0.306482064,0.553178099
6/21/18,新型多模式层析填料，层析中的航空母舰,Qing tian zhu,Product,643,21,23,10,13,Consumerable,928,6,0,0,4,832,386,306,29,0.032659409,0.619047619,0.463942308,0.367788462
6/22/18,Biacore芯发现 | 维护与保养小贴士,Zhang Hao,Tips,488,36,24,9,15,Biacore,1025,2,0,0,5,697,263,223,21,0.073770492,0.416666667,0.37733142,0.319942611
6/26/18,Cell fun club | 补料策略对于CHO细胞性能的影响,Cell fun club,Tips,1573,74,50,5,45,BP,1939,8,Cell fun club,0,2,545,229,172,22,0.047043865,0.608108108,0.420183486,0.31559633
6/27/18,通用电气公司调整业务组合 聚焦业务增长并为股东创造价值,GE中国,News,1561,101,40,13,27,Branding,2780,1,0,1,3,1947,416,1092,54,0.064702114,0.267326733,0.213662044,0.560862866
6/28/18,GE与监管机构专家共商细胞治疗行业健康发展之路,GE生命科学,Conference,588,40,18,9,9,Branding,734,6,0,0,4,835,248,313,15,0.068027211,0.225,0.297005988,0.374850299
6/29/18,冠军之选∣Biacore助力国内首个PD-1药物上市,Rui Zhang,Tech,717,46,12,7,5,Biacore,629,5,0,0,5,745,172,389,3,0.064156206,0.108695652,0.230872483,0.522147651
